company,title,url,source_url,context
Linear,"Account Executive, Startups",https://linear.app/careers/c21af93e-210f-4969-8eaa-90fb16a5b720,https://linear.app/careers,"Sales⁠ Account Executive, Startups North AmericaLearn more→ Customer Success Manager, Enterprise North AmericaLearn more→ Implementation Manager North AmericaLearn more→ Solutions Engineer, Europe LondonLearn more→ Solutions Engineer, Growth North AmericaLearn more→"
Linear,"Customer Success Manager, Enterprise",https://linear.app/careers/370d9605-f02f-44f9-97fa-ebf769bed93d,https://linear.app/careers,"Sales⁠ Account Executive, Startups North AmericaLearn more→ Customer Success Manager, Enterprise North AmericaLearn more→ Implementation Manager North AmericaLearn more→ Solutions Engineer, Europe LondonLearn more→ Solutions Engineer, Growth North AmericaLearn more→"
Linear,Implementation Manager,https://linear.app/careers/cec84487-60f2-4216-a514-dcf190c86c1e,https://linear.app/careers,"Sales⁠ Account Executive, Startups North AmericaLearn more→ Customer Success Manager, Enterprise North AmericaLearn more→ Implementation Manager North AmericaLearn more→ Solutions Engineer, Europe LondonLearn more→ Solutions Engineer, Growth North AmericaLearn more→"
Linear,"Solutions Engineer, Europe",https://linear.app/careers/d37b3d76-3080-47f9-8a19-60505573112c,https://linear.app/careers,"Sales⁠ Account Executive, Startups North AmericaLearn more→ Customer Success Manager, Enterprise North AmericaLearn more→ Implementation Manager North AmericaLearn more→ Solutions Engineer, Europe LondonLearn more→ Solutions Engineer, Growth North AmericaLearn more→"
Linear,"Solutions Engineer, Growth",https://linear.app/careers/a8041e0e-350e-47d0-9190-454089216fb8,https://linear.app/careers,"Sales⁠ Account Executive, Startups North AmericaLearn more→ Customer Success Manager, Enterprise North AmericaLearn more→ Implementation Manager North AmericaLearn more→ Solutions Engineer, Europe LondonLearn more→ Solutions Engineer, Growth North AmericaLearn more→"
Linear,Analytics Engineer,https://linear.app/careers/f272fc4a-91a7-4dcf-9cb5-3600ebaf14e1,https://linear.app/careers,"GTM⁠ Analytics Engineer North AmericaLearn more→ Customer Success Manager, Growth North AmericaLearn more→"
Linear,"Customer Success Manager, Growth",https://linear.app/careers/26c77e48-b4ef-455d-a02c-3ef68fc6f9f9,https://linear.app/careers,"GTM⁠ Analytics Engineer North AmericaLearn more→ Customer Success Manager, Growth North AmericaLearn more→"
Linear,Deal Desk,https://linear.app/careers/1aa6f672-5917-49aa-b015-70ebff901923,https://linear.app/careers,Operations⁠ Deal Desk North AmericaLearn more→ Revenue Operations North AmericaLearn more→
Linear,Revenue Operations,https://linear.app/careers/29aeb82d-f00e-4283-b332-057efd487d6f,https://linear.app/careers,Operations⁠ Deal Desk North AmericaLearn more→ Revenue Operations North AmericaLearn more→
Linear,Developer Relations,https://linear.app/careers/62a4524c-75da-499e-b150-7f68ce9f2da3,https://linear.app/careers,"Marketing⁠ Developer Relations Europe, North AmericaLearn more→"
Linear,Mobile Product Designer,https://linear.app/careers/eac7f181-d658-4943-9430-51bae2bcd110,https://linear.app/careers,Design⁠ Mobile Product Designer North AmericaLearn more→ Principal Product Designer EuropeLearn more→ Senior / Staff Product Designer North AmericaLearn more→
Linear,Principal Product Designer,https://linear.app/careers/ba8a41d2-4198-481a-a7f4-e09c5364ff7f,https://linear.app/careers,Design⁠ Mobile Product Designer North AmericaLearn more→ Principal Product Designer EuropeLearn more→ Senior / Staff Product Designer North AmericaLearn more→
Linear,Senior / Staff Product Designer,https://linear.app/careers/a264869e-f058-487c-ab7f-9b77dffa427c,https://linear.app/careers,Design⁠ Mobile Product Designer North AmericaLearn more→ Principal Product Designer EuropeLearn more→ Senior / Staff Product Designer North AmericaLearn more→
